v_prime, v
9.0, 28.0
7.0, 27.0
15.0, 27.0
21.0, 32.0
12.0, 26.0
11.0, 27.0
5.0, 27.0
13.0, 28.0
11.0, 27.0
8.0, 27.0
16.0, 25.0
10.0, 26.0
10.0, 24.0
7.0, 27.0
13.0, 27.0
9.0, 27.0
12.0, 25.0
10.0, 27.0
14.0, 23.0
8.0, 28.0
9.0, 26.0
10.0, 28.0
14.0, 24.0
9.0, 25.0
11.0, 25.0
5.0, 27.0
7.0, 32.0
9.0, 27.0
8.0, 26.0
7.0, 29.0
10.0, 28.0
4.0, 28.0
16.0, 22.0
16.0, 32.0
12.0, 27.0
8.0, 29.0
10.0, 27.0
13.0, 24.0
13.0, 26.0
17.0, 19.0
9.0, 28.0
5.0, 29.0
12.0, 28.0
14.0, 32.0
7.0, 26.0
13.0, 23.0
10.0, 26.0
11.0, 26.0
12.0, 26.0
9.0, 27.0
12.0, 26.0
10.0, 23.0
8.0, 29.0
6.0, 26.0
7.0, 25.0
9.0, 27.0
10.0, 27.0
6.0, 28.0
10.0, 28.0
8.0, 27.0
11.0, 28.0
8.0, 25.0
10.0, 27.0
12.0, 22.0
11.0, 25.0
10.0, 25.0
10.0, 24.0
6.0, 28.0
7.0, 28.0
8.0, 29.0
12.0, 25.0
12.0, 25.0
9.0, 27.0
18.0, 30.0
14.0, 25.0
10.0, 26.0
12.0, 27.0
9.0, 25.0
9.0, 28.0
15.0, 25.0
9.0, 26.0
12.0, 27.0
10.0, 28.0
12.0, 25.0
11.0, 27.0
12.0, 23.0
7.0, 27.0
14.0, 26.0
10.0, 27.0
19.0, 32.0
10.0, 26.0
13.0, 24.0
10.0, 26.0
8.0, 27.0
7.0, 26.0
7.0, 26.0
9.0, 28.0
8.0, 24.0
8.0, 27.0
9.0, 27.0
8.0, 27.0
18.0, 23.0
7.0, 28.0
8.0, 27.0
13.0, 24.0
9.0, 28.0
12.0, 28.0
7.0, 28.0
17.0, 27.0
13.0, 26.0
9.0, 27.0
12.0, 26.0
12.0, 24.0
9.0, 28.0
15.0, 28.0
15.0, 26.0
12.0, 28.0
13.0, 25.0
13.0, 26.0
11.0, 25.0
5.0, 27.0
11.0, 26.0
12.0, 27.0
8.0, 28.0
10.0, 27.0
12.0, 26.0
7.0, 26.0
8.0, 28.0
12.0, 27.0
7.0, 25.0
9.0, 27.0
12.0, 26.0
10.0, 27.0
15.0, 24.0
7.0, 26.0
12.0, 25.0
8.0, 26.0
10.0, 27.0
9.0, 26.0
11.0, 26.0
11.0, 24.0
14.0, 21.0
12.0, 26.0
8.0, 27.0
11.0, 29.0
12.0, 26.0
15.0, 26.0
8.0, 26.0
12.0, 26.0
10.0, 25.0
19.0, 23.0
14.0, 28.0
6.0, 28.0
14.0, 26.0
10.0, 28.0
16.0, 26.0
11.0, 25.0
15.0, 27.0
11.0, 26.0
10.0, 25.0
5.0, 28.0
12.0, 26.0
6.0, 27.0
7.0, 28.0
4.0, 26.0
12.0, 27.0
9.0, 27.0
12.0, 25.0
7.0, 27.0
9.0, 27.0
12.0, 25.0
8.0, 27.0
13.0, 28.0
15.0, 28.0
7.0, 29.0
7.0, 28.0
10.0, 27.0
9.0, 27.0
7.0, 27.0
18.0, 30.0
11.0, 24.0
9.0, 27.0
12.0, 25.0
7.0, 26.0
8.0, 26.0
12.0, 25.0
11.0, 27.0
2.0, 28.0
6.0, 27.0
5.0, 28.0
11.0, 27.0
13.0, 23.0
9.0, 26.0
8.0, 27.0
11.0, 27.0
17.0, 32.0
11.0, 25.0
19.0, 19.0
