v_prime, v
11.0, 23.0
8.0, 22.0
11.0, 22.0
10.0, 19.0
8.0, 22.0
5.0, 22.0
13.0, 27.0
10.0, 23.0
15.0, 27.0
7.0, 22.0
7.0, 23.0
9.0, 22.0
8.0, 22.0
11.0, 22.0
10.0, 22.0
10.0, 27.0
10.0, 21.0
8.0, 22.0
11.0, 21.0
8.0, 22.0
9.0, 24.0
11.0, 21.0
14.0, 27.0
12.0, 27.0
5.0, 24.0
9.0, 22.0
12.0, 27.0
10.0, 27.0
15.0, 27.0
13.0, 21.0
13.0, 20.0
13.0, 27.0
8.0, 23.0
12.0, 27.0
9.0, 20.0
15.0, 21.0
7.0, 22.0
14.0, 27.0
11.0, 21.0
10.0, 19.0
7.0, 23.0
17.0, 27.0
9.0, 21.0
7.0, 23.0
17.0, 27.0
8.0, 21.0
11.0, 26.0
11.0, 22.0
12.0, 27.0
9.0, 21.0
8.0, 22.0
10.0, 23.0
12.0, 21.0
6.0, 23.0
9.0, 22.0
8.0, 24.0
11.0, 20.0
9.0, 22.0
8.0, 22.0
9.0, 22.0
8.0, 23.0
11.0, 21.0
7.0, 22.0
7.0, 22.0
8.0, 21.0
11.0, 27.0
16.0, 27.0
7.0, 24.0
9.0, 22.0
15.0, 27.0
8.0, 24.0
10.0, 20.0
14.0, 27.0
15.0, 27.0
8.0, 22.0
6.0, 21.0
7.0, 23.0
8.0, 24.0
8.0, 21.0
12.0, 21.0
14.0, 27.0
10.0, 21.0
12.0, 27.0
10.0, 27.0
11.0, 21.0
6.0, 23.0
11.0, 22.0
4.0, 24.0
14.0, 27.0
9.0, 23.0
12.0, 21.0
12.0, 27.0
8.0, 22.0
10.0, 24.0
10.0, 22.0
6.0, 22.0
13.0, 20.0
9.0, 27.0
12.0, 18.0
7.0, 22.0
5.0, 23.0
7.0, 24.0
10.0, 22.0
8.0, 22.0
15.0, 27.0
14.0, 22.0
10.0, 23.0
9.0, 23.0
10.0, 23.0
8.0, 23.0
9.0, 22.0
9.0, 22.0
12.0, 20.0
6.0, 23.0
12.0, 20.0
14.0, 21.0
7.0, 23.0
7.0, 22.0
12.0, 18.0
12.0, 21.0
7.0, 22.0
13.0, 27.0
13.0, 27.0
13.0, 20.0
15.0, 20.0
10.0, 23.0
8.0, 21.0
8.0, 20.0
11.0, 21.0
13.0, 27.0
10.0, 21.0
7.0, 23.0
13.0, 27.0
16.0, 27.0
14.0, 20.0
11.0, 19.0
13.0, 24.0
8.0, 23.0
12.0, 27.0
11.0, 27.0
5.0, 23.0
12.0, 21.0
11.0, 20.0
7.0, 23.0
6.0, 24.0
16.0, 27.0
9.0, 24.0
12.0, 22.0
12.0, 27.0
14.0, 27.0
14.0, 27.0
6.0, 23.0
9.0, 22.0
10.0, 22.0
13.0, 27.0
6.0, 23.0
12.0, 22.0
13.0, 27.0
8.0, 21.0
11.0, 22.0
7.0, 24.0
8.0, 23.0
16.0, 27.0
9.0, 21.0
7.0, 22.0
7.0, 22.0
10.0, 20.0
10.0, 22.0
13.0, 19.0
9.0, 21.0
12.0, 21.0
13.0, 27.0
8.0, 24.0
10.0, 24.0
9.0, 21.0
9.0, 23.0
13.0, 27.0
9.0, 27.0
8.0, 20.0
11.0, 27.0
6.0, 22.0
13.0, 20.0
9.0, 23.0
7.0, 21.0
8.0, 22.0
8.0, 22.0
7.0, 24.0
8.0, 23.0
13.0, 26.0
9.0, 21.0
17.0, 27.0
8.0, 23.0
9.0, 22.0
8.0, 24.0
13.0, 27.0
10.0, 22.0
6.0, 22.0
14.0, 27.0
8.0, 20.0
7.0, 24.0
7.0, 21.0
10.0, 23.0
13.0, 27.0
9.0, 22.0
12.0, 22.0
7.0, 22.0
7.0, 23.0
10.0, 22.0
9.0, 20.0
14.0, 27.0
9.0, 23.0
8.0, 23.0
10.0, 22.0
11.0, 22.0
15.0, 27.0
10.0, 22.0
9.0, 22.0
14.0, 27.0
12.0, 21.0
15.0, 19.0
15.0, 19.0
10.0, 19.0
10.0, 20.0
10.0, 19.0
16.0, 27.0
13.0, 27.0
10.0, 22.0
7.0, 23.0
7.0, 22.0
8.0, 21.0
12.0, 27.0
10.0, 22.0
9.0, 22.0
6.0, 23.0
9.0, 21.0
11.0, 27.0
6.0, 23.0
10.0, 20.0
9.0, 19.0
7.0, 22.0
11.0, 22.0
6.0, 23.0
13.0, 21.0
13.0, 22.0
12.0, 25.0
6.0, 22.0
10.0, 21.0
9.0, 23.0
9.0, 22.0
6.0, 23.0
12.0, 22.0
11.0, 27.0
13.0, 27.0
11.0, 21.0
7.0, 24.0
8.0, 22.0
9.0, 22.0
6.0, 23.0
13.0, 27.0
5.0, 22.0
4.0, 23.0
9.0, 20.0
10.0, 20.0
10.0, 22.0
10.0, 22.0
12.0, 27.0
11.0, 20.0
9.0, 24.0
15.0, 20.0
13.0, 27.0
10.0, 22.0
9.0, 23.0
6.0, 23.0
