v_prime, v
8.0, 19.0
6.0, 16.0
7.0, 15.0
10.0, 17.0
7.0, 19.0
10.0, 19.0
7.0, 19.0
8.0, 19.0
9.0, 19.0
8.0, 19.0
7.0, 15.0
7.0, 14.0
8.0, 19.0
4.0, 15.0
5.0, 15.0
7.0, 19.0
7.0, 16.0
8.0, 19.0
7.0, 19.0
6.0, 14.0
9.0, 16.0
6.0, 16.0
10.0, 17.0
6.0, 15.0
10.0, 19.0
5.0, 14.0
7.0, 16.0
8.0, 19.0
9.0, 16.0
6.0, 19.0
7.0, 19.0
8.0, 19.0
6.0, 19.0
6.0, 15.0
8.0, 19.0
5.0, 15.0
7.0, 14.0
9.0, 14.0
9.0, 14.0
8.0, 19.0
8.0, 14.0
5.0, 15.0
8.0, 19.0
7.0, 15.0
7.0, 19.0
6.0, 19.0
6.0, 15.0
8.0, 15.0
8.0, 14.0
8.0, 19.0
5.0, 15.0
4.0, 15.0
8.0, 15.0
4.0, 15.0
8.0, 19.0
7.0, 15.0
9.0, 16.0
7.0, 15.0
6.0, 19.0
9.0, 19.0
7.0, 19.0
5.0, 15.0
6.0, 14.0
9.0, 19.0
6.0, 19.0
7.0, 19.0
9.0, 19.0
9.0, 19.0
8.0, 15.0
5.0, 15.0
7.0, 14.0
5.0, 14.0
7.0, 19.0
7.0, 16.0
10.0, 19.0
7.0, 19.0
8.0, 19.0
10.0, 19.0
8.0, 15.0
7.0, 14.0
8.0, 19.0
4.0, 15.0
4.0, 15.0
6.0, 15.0
7.0, 15.0
7.0, 19.0
9.0, 19.0
6.0, 19.0
9.0, 19.0
6.0, 15.0
8.0, 14.0
8.0, 19.0
7.0, 15.0
6.0, 19.0
6.0, 19.0
4.0, 15.0
10.0, 19.0
6.0, 15.0
7.0, 15.0
5.0, 14.0
10.0, 19.0
4.0, 15.0
6.0, 15.0
9.0, 19.0
10.0, 17.0
9.0, 16.0
7.0, 19.0
7.0, 19.0
7.0, 16.0
10.0, 19.0
10.0, 19.0
8.0, 19.0
6.0, 15.0
6.0, 19.0
6.0, 19.0
8.0, 19.0
8.0, 19.0
6.0, 19.0
7.0, 15.0
5.0, 16.0
8.0, 15.0
8.0, 19.0
5.0, 15.0
9.0, 19.0
8.0, 15.0
7.0, 19.0
8.0, 19.0
6.0, 19.0
6.0, 16.0
6.0, 19.0
